```csv
id,conversation
g_033,"새로운 카페 생겼던데 가봤어? 아직 못 가봤는데 어디에? 우리 집 근처에 생겼어. 분위기 어때? 사진으로 봤는데 예쁘더라. 주말에 같이 가볼까? 좋아 시간 맞춰서 가자."
g_034,"요즘 잠 잘 자? 응 요즘 잘 자는 편이야. 다행이다 나는 좀 부족해. 자기 전에 핸드폰 보지 마. 알아 노력 중이야. 일찍 자는 게 제일 중요해. 그래 오늘은 일찍 자야지."
g_035,"이번 주말에 뭐 볼까? 넷플릭스 새 시리즈 나왔던데. 무슨 장르야? 코미디 드라마야. 재밌을 것 같다 같이 볼까? 좋아 같이 보자. 팝콘도 준비하자."
g_036,"음악 들으면서 공부해? 가끔 듣는데 집중 잘 돼? 응 조용한 음악 들으면 집중 잘 돼. 나도 해봐야겠다. 클래식 추천해. 좋아 플레이리스트 공유할게."
g_037,"오늘 뭐 했어? 집에서 쉬었어 너는? 친구들 만나서 놀았어. 재밌었어? 응 진짜 오랜만에 만나서 좋았어. 좋겠다 나도 다음에 같이 가고 싶다. 다음에 꼭 같이 가자."
g_038,"요즘 스트레스 많아? 좀 있는데 너는? 나도 비슷해 어떻게 풀어? 운동하거나 음악 들어. 나도 그래야겠다. 같이 운동 가자 더 좋아."
g_039,"저녁 약속 있어? 없는데 왜? 맛있는 거 먹으러 갈래? 좋지 뭐 먹을까? 고기 어때? 완벽해 고기 먹자. 그럼 7시에 만나자."
g_040,"주말 계획 세웠어? 아직인데 너는? 나는 집에서 쉴까 봐. 나도 푹 쉬고 싶어. 같이 영화나 볼까? 좋아 뭐 볼지 생각해봐. 알았어 추천해줄게."
g_041,"요즘 날씨가 딱 좋다. 그치 선선해서 산책하기 좋아. 우리 공원 갈까? 좋아 언제 갈래? 이번 주말 어때? 완벽해 토요일 오후에 보자. 알았어 그때 보자."
g_042,"새로 나온 신메뉴 먹어봤어? 아직 못 먹어봤는데 맛있어? 응 진짜 맛있더라. 어디 거야? 우리 자주 가는 카페. 그럼 오늘 가서 먹어봐야겠다. 추천해 후회 안 할 거야."
g_043,"오늘 뭐 입을까 고민돼. 날씨 따뜻하니까 가볍게 입어. 그래야겠다 니트 입을까 봐. 좋을 것 같아 예쁘게 입고 와. 고마워 너도 잘 입고 와. 응 곧 보자."
g_044,"요즘 재밌는 유튜브 채널 없어? 있어 운동 채널 하나 구독했어. 나도 운동 영상 보고 싶어. 링크 보내줄게 따라 하기 좋아. 고마워 오늘부터 해봐야겠다. 같이 하면 더 재밌어."
g_045,"오늘 기분 어때? 괜찮아 너는? 나도 좋아 날씨도 좋고. 그치 이런 날은 밖에 나가야 해. 같이 나갈래? 좋아 어디 갈까? 한강 어때? 완전 좋지 가자."
g_046,"아침 먹었어? 아직인데 너는? 나도 아직 같이 먹을래? 좋아 뭐 먹을까? 토스트 어때? 간단하고 좋다 가자."
g_047,"주말에 뭐 했어? 영화 보러 갔어 너는? 집에서 쉬었어 무슨 영화 봤어? 액션 영화 봤는데 재밌더라. 나도 보고 싶다 다음에 같이 가자. 좋아 꼭 같이 가자."
g_048,"요즘 뭐 배우고 싶은 거 있어? 음 요리 배우고 싶어. 좋은데 무슨 요리? 한식 배우고 싶어. 멋지다 나도 관심 있어. 같이 배울까? 완전 좋지 알아볼게."
g_049,"이번 주 힘들었지? 응 진짜 바빴어 너는? 나도 비슷해 이제 주말이니까. 그래 푹 쉬어야겠어. 맞아 우리 다 고생했어. 다음 주도 파이팅하자."
g_050,"새로 산 가방 예쁘다. 고마워 어제 샀어. 어디서 샀어? 백화점에서 샀어. 나도 하나 사고 싶다. 같이 가서 고를까? 좋아 언제 갈래? 이번 주말 괜찮아? 완벽해 그때 보자."
g_051,"커피 마시러 갈래? 좋아 어디로 갈까? 새로 생긴 카페 어때? 거기 분위기 좋대? 응 친구가 추천했어. 그럼 거기로 가자. 지금 출발할까? 응 바로 가자."
g_052,"요즘 드라마 뭐 봐? 로맨스 드라마 하나 보는데 재밌어. 제목이 뭐야? 그 유명한 거 알지? 아 그거 나도 들었어. 같이 볼래? 좋아 오늘 밤에 같이 보자."
g_053,"날씨 진짜 좋다 나가자. 응 어디 갈까? 공원 산책 어때? 좋아 커피도 사 가자. 그래 테이크아웃 해서 가자. 지금 출발할까? 응 지금 가자."
g_054,"주말에 집들이 가? 응 친구 집 가기로 했어. 선물 뭐 사갈 거야? 와인이나 꽃 살까 봐. 좋은 생각이야 같이 사러 갈까? 좋아 같이 가자. 내일 시간 돼? 응 내일 괜찮아."
g_055,"이번 주 운동 몇 번 했어? 세 번 했어 너는? 나는 두 번 했어. 다음 주는 더 자주 가야겠다. 같이 자주 가자. 그래 같이 가면 더 재밌어. 월요일에 보자."
g_056,"점심 뭐 먹었어? 샐러드 먹었어 너는? 김밥 먹었어 맛있었어? 응 괜찮았어. 저녁은 뭐 먹을까? 파스타 어때? 좋아 같이 먹으러 가자."
g_057,"오늘 미세먼지 어때? 좋은 편이야 마스크 안 써도 돼. 다행이다 산책하기 좋겠다. 응 날씨도 좋고. 같이 나갈래? 좋아 몇 시에 나갈까? 3시 어때? 완벽해 그때 보자."
g_058,"요즘 책 읽어? 응 자기계발서 읽고 있어. 도움 돼? 응 많이 배우고 있어. 나도 읽고 싶다 추천해줘. 좋아 다 읽으면 빌려줄게. 고마워 기대할게."
g_059,"주말에 영화 보러 가는데 같이 갈래? 좋지 무슨 영화 볼 건데? 코미디 영화 나왔어. 재밌을 것 같다 몇 시에 보려고? 저녁 7시 어때? 완벽해 그때 만나자. 알았어 토요일에 보자."
g_060,"새로 나온 음악 들었어? 아직 못 들었는데 좋아? 응 진짜 좋더라 중독성 있어. 나도 들어봐야겠다. 지금 들려줄까? 좋아 틀어봐. 여기 이거야."
g_061,"오늘 기분 좋아 보인다. 응 좋은 소식 들었어. 무슨 소식인데? 승진했어. 헐 대박 축하해. 고마워 다음에 밥 살게. 좋아 언제든지 괜찮아."
g_062,"저녁에 시간 있어? 응 있는데 왜? 맥주 한잔할래? 좋지 어디서 만날까? 우리 단골 가게 어때? 완전 좋아 거기 분위기 좋지. 그래 8시에 보자. 알았어 곧 보자."
g_063,"주말에 집에만 있을 거야? 응 좀 쉬려고 너는? 나는 친구 만나러 갈 거야. 재밌게 놀다 와. 응 고마워 너도 푹 쉬어. 그래 다음 주에 보자."
g_064,"요즘 잠 잘 자? 응 잘 자는 편이야 너는? 나는 좀 부족해. 스트레스 때문이야? 응 좀 그래. 운동하면 도움 될 거야. 그래야겠다 같이 운동 가자."
g_065,"새로 산 옷 어때? 예쁘다 잘 어울려. 고마워 백화점에서 샀어. 가격은 괜찮았어? 응 세일해서 싸게 샀어. 좋겠다 나도 쇼핑 가야겠다. 같이 갈래? 좋아 언제 갈까? 주말에 가자."
g_066,"오늘 저녁 메뉴 추천해줘. 찌개 어때? 추운 날씨에 딱이야. 좋아 김치찌개로 할까? 완벽해 내가 만들게. 나는 뭐 도와줄까? 상 차리는 거 도와줘. 알았어 그렇게 할게."
g_067,"주말에 등산 가려는데 같이 갈래? 좋아 어디로 갈 거야? 관악산 어때? 좋지 몇 시에 출발할까? 아침 8시 어때? 조금 이른데 괜찮아? 응 괜찮아 그때 보자."
g_068,"요즘 스트레스 풀 방법 있어? 나는 음악 들어. 좋은 방법이다 나는 운동해. 운동도 좋지 같이 운동 갈까? 좋아 언제 갈래? 내일 저녁 어때? 완벽해 내일 보자."
g_069,"오늘 날씨 완전 좋다. 그치 산책하기 딱이야. 우리 나갈까? 좋아 어디로 갈까? 강변 어때? 완전 좋지 지금 출발하자. 알았어 바로 가자."
g_070,"요즘 취미 생활 뭐 해? 사진 찍는 거 배우고 있어. 멋지다 언제부터 배웠어? 한 달 됐어. 재밌어? 응 진짜 재밌어. 나도 배워보고 싶다. 같이 배우자."
g_071,"점심 어디서 먹을까? 새로 생긴 식당 가볼까? 거기 어떤 음식 파는데? 한식이야 불고기 맛있대. 좋아 거기로 가자. 지금 출발할까? 응 가자."
g_072,"주말 계획 있어? 아직 없는데 너는? 영화 보러 갈 건데 같이 갈래? 좋지 무슨 영화? 애니메이션 새로 나왔어. 재밌을 것 같다 토요일 어때? 완벽해 토요일에 보자."
g_073,"오늘 기분이 좋네. 응 날씨도 좋고 일도 잘 풀렸어. 다행이다 나도 기분 좋아. 같이 맛있는 거 먹을까? 좋아 저녁에 만나자. 그래 뭐 먹을지 생각해봐."
g_074,"새로 산 신발 신어봤어? 응 진짜 편해. 어디 거야? 온라인으로 샀어. 나도 사고 싶다 링크 줘. 좋아 지금 보내줄게. 고마워 주문해볼게."
g_075,"요즘 운동 자주 해? 응 일주일에 네 번 가. 대단하다 효과 있어? 응 조금씩 좋아지고 있어. 나도 열심히 해야겠다. 같이 하면 더 재밌어. 그래 같이 하자."
g_076,"이번 주 날씨 어떻대? 계속 맑을 것 같아. 좋겠다 빨래하기 좋겠네. 응 나도 빨래 해야겠어. 같이 청소할까? ㅋㅋ 좋아 주말에 하자."
g_077,"배고프다 뭐 먹을까? 라면 어때? 좋아 매운 거로 먹자. 알았어 내가 끓일게. 고마워 나는 계란 삶을게. 좋아 금방 될 거야."
g_078,"주말에 가족 만나? 응 부모님 댁에 갈 거야. 좋겠다 맛있는 거 먹겠네. 응 엄마가 요리 잘하셔. 행복하겠다 잘 다녀와. 고마워 너도 좋은 주말 보내."
g_079,"요즘 새로 배운 거 있어? 기타 배우고 있어. 멋지다 언제부터? 두 달 됐어. 잘 돼? 응 조금씩 나아지고 있어. 나도 악기 배우고 싶다."
g_080,"오늘 회의 어땠어? 길었어 피곤해. 고생했다 이제 퇴근하자. 응 뭐 먹을까? 삼겹살 어때? 완전 좋지 고기 먹자. 그래 맛있게 먹고 쉬자."
g_081,"새로 나온 게임 해봤어? 아직인데 재밌어? 응 진짜 중독성 있어. 나도 해봐야겠다. 같이 할래? 좋아 오늘 밤에 같이 하자. 완벽해 연락할게."
g_082,"주말에 뭐 할까? 집에서 쉴까 봐 너는? 나도 비슷해 영화나 볼까? 좋아 무슨 장르? 코미디 어때? 완전 좋지 같이 보자."
g_083,"요즘 일 바쁘니? 좀 바쁜 편이야 너는? 나도 비슷해 스트레스 받네. 주말에 푹 쉬자. 그래 같이 놀러 갈까? 좋아 계획 세우자."
g_084,"오늘 점심 맛있었어? 응 완전 맛있었어 너는? 나도 괜찮았어 어디서? 학교 근처 식당이야. 나도 가봐야겠다 추천해줘. 응 꼭 가봐."
g_085,"새로운 헤어스타일 어때? 예쁘다 잘 어울려. 고마워 어제 잘랐어. 미용실 어디야? 집 근처에 새로 생긴 곳. 나도 가보고 싶다. 추천해 실력 좋아."
g_086,"요즘 독서 모임 어때? 재밌어 좋은 책 많이 읽어. 부럽다 나도 가입하고 싶다. 같이 하자 다음 모임 때 와. 좋아 언제야? 다음 주 토요일이야. 알았어 갈게."
g_087,"주말에 캠핑 가는데 같이 갈래? 좋지 어디로 갈 건데? 강원도 쪽으로 갈 거야. 멋지다 준비물 뭐 필요해? 텐트랑 침낭 있어? 응 다 있어 같이 가자. 완벽해 기대된다."
g_088,"오늘 저녁 약속 있어? 없는데 왜? 치킨 시켜 먹을래? 좋아 무슨 맛으로 할까? 양념 반 후라이드 반. 완벽해 주문할게. 고마워 같이 먹자."
g_089,"요즘 날씨 변덕스럽다. 그치 아침 저녁으로 춥고. 감기 조심해야겠어. 응 옷 잘 챙겨 입어. 너도 건강 챙겨. 고마워 같이 조심하자."
g_090,"새로 나온 카페 메뉴 먹어봤어? 아직인데 어때? 진짜 맛있어 추천해. 그럼 오늘 먹어봐야겠다. 응 후회 안 할 거야. 고마워 나중에 후기 알려줄게."
g_091,"주말에 쇼핑 가려는데 같이 갈래? 좋아 뭐 살 거야? 겨울 코트 사려고. 나도 살 게 있어 같이 가자. 몇 시에 만날까? 2시 어때? 완벽해 그때 보자."
g_092,"요즘 운동 열심히 하네. 응 건강 챙기려고. 대단해 나도 해야 하는데. 같이 하자 더 재밌어. 그래 내일부터 같이 가자. 좋아 내일 보자."
g_093,"오늘 기분 어때? 좋아 너는? 나도 괜찮아 날씨도 좋고. 그치 밖에 나가고 싶다. 같이 나갈까? 좋아 어디로 갈까? 공원 어때? 완전 좋지 가자."
g_094,"점심 뭐 먹을까? 일식 어때? 좋아 초밥 먹고 싶다. 나도 초밥 땡겨. 그럼 그 맛집 가자. 완벽해 예약할게. 고마워 12시에 가자."
g_095,"주말에 집들이 하는데 올래? 좋아 몇 시에 가면 돼? 저녁 6시쯤 와. 알았어 선물 뭐 살까? 와인이나 케이크 좋을 것 같아. 그럼 그렇게 준비할게. 고마워 토요일에 보자."
g_096,"요즘 드라마 재밌는 거 없어? 있어 추리 드라마 하나 보는데. 제목이 뭐야? 그 유명한 거 알지? 아 그거 나도 들었어. 같이 볼까? 좋아 오늘 밤에 보자."
g_097,"날씨 좋은데 드라이브 갈래? 좋아 어디로 갈까? 바다 쪽 어때? 완전 좋지 몇 시에 출발할까? 오후 2시 어때? 완벽해 그때 보자. 알았어 기대된다."
g_098,"이번 주 힘들었지? 응 진짜 바빴어. 고생했어 이제 주말이야. 그치 푹 쉬어야겠어. 같이 놀러 갈까? 좋아 어디 갈까? 영화 보러 가자. 완벽해 토요일에 보자."
g_099,"새로 산 책 읽고 있어? 응 재밌어 빠져들었어. 무슨 책인데? 판타지 소설이야. 나도 읽고 싶다. 다 읽으면 빌려줄게. 고마워 기대할게."
g_100,"오늘 저녁에 시간 돼? 응 돼는데 왜? 맥주 마시러 갈래? 좋지 어디로 갈까? 새로 생긴 펍 어때? 좋아 거기로 가자. 7시에 보자. 알았어 곧 보자."
g_101,"주말에 집에만 있을 거야? 응 쉬려고 너는? 나도 비슷해 청소나 할까 봐. 나도 청소해야겠어. 같이 하면 덜 지루해. ㅋㅋ 그래 같이 하자."
g_102,"요즘 잠 잘 자니? 응 잘 자는 편이야. 다행이다 나는 좀 힘들어. 스트레스 때문이야? 응 좀 그래. 운동해봐 도움 될 거야. 그래야겠다 고마워."
g_103,"새로 산 향수 어때? 좋은 향이다 어디 거야? 백화점에서 샀어. 나도 사고 싶다. 같이 가볼까? 좋아 언제 갈래? 주말 어때? 완벽해 그때 가자."
g_104,"오늘 메뉴 뭐로 할까? 파스타 어때? 좋아 크림 파스타 먹고 싶어. 나도 그거 좋아. 그럼 그걸로 하자. 내가 만들게. 나는 샐러드 만들게."
g_105,"주말에 볼링 치러 가는데 같이 갈래? 좋아 오랜만이네. 응 재밌을 거야 몇 시에 갈까? 토요일 오후 3시 어때? 완벽해 그때 보자. 알았어 기대된다."
g_106,"요즘 스트레스 어떻게 풀어? 나는 드라마 봐. 좋은 방법이다 나는 게임해. 게임도 좋지 같이 할래? 좋아 무슨 게임? 그 협동 게임 해보자. 완벽해 오늘 밤에 하자."
g_107,"오늘 날씨 진짜 맑다. 그치 기분 좋아지는 날씨야. 나가서 놀고 싶다. 같이 나갈까? 좋아 어디로 갈까? 카페 가서 차 마시자. 완벽해 지금 가자."
g_108,"요즘 새로 시작한 거 있어? 요가 배우고 있어. 좋다 언제부터? 한 달 정도 됐어. 효과 있어? 응 몸이 가벼워졌어. 나도 해보고 싶다. 같이 하자."
g_109,"점심 어디서 먹을까? 회사 근처 중식당 어때? 좋아 거기 짬뽕 맛있어. 나도 그거 먹고 싶었어. 그럼 거기로 가자. 지금 출발할까? 응 가자."
g_110,"주말 계획 세웠어? 아직인데 너는? 친구들이랑 모이기로 했어. 좋겠다 재밌게 놀다 와. 응 고마워 너도 좋은 주말 보내. 그래 다음 주에 보자."
g_111,"오늘 기분 좋아 보인다. 응 좋은 일 있었거든. 뭔데 말해봐. 프로젝트 잘 끝났어. 축하해 고생 많았어. 고마워 다 같이 한 덕분이야."
g_112,"새로 산 이어폰 어때? 좋아 음질 진짜 좋아. 어디 거야? 온라인에서 샀어. 나도 사고 싶다 추천해줘. 좋아 링크 보내줄게. 고마워 주문할게."
g_113,"요즘 운동 꾸준히 해? 응 매일 30분씩 해. 대단하다 나도 해야 하는데. 같이 하자 습관 만들기 좋아. 그래 내일부터 같이 하자. 완벽해 내일 보자."
g_114,"이번 주 날씨 춥대. 그래 옷 따뜻하게 입어야겠다. 감기 조심해. 너도 건강 챙겨. 고마워 같이 조심하자. 응 따뜻하게 입고 다녀."
g_115,"배고픈데 뭐 먹을까? 떡볶이 어때? 좋아 순대도 같이 먹자. 완전 좋지 포장해 올까? 응 부탁해. 알았어 금방 올게."
g_116,"주말에 부모님 뵈러 가? 응 고향 내려갈 거야. 좋겠다 오랜만이지? 응 한 달 만이야. 맛있는 거 많이 먹고 와. 응 그럴게 고마워."
g_117,"요즘 그림 그리기 배우고 있어? 응 수채화 하고 있어. 멋지다 잘 돼? 응 조금씩 나아지고 있어. 작품 보여줘. 좋아 다음에 보여줄게. 기대할게."
g_118,"오늘 회의 어땠어? 짧아서 좋았어 너는? 나도 금방 끝났어. 다행이다 점심 먹었어? 아직인데 같이 먹을래? 좋아 뭐 먹을까? 한식 어때? 완벽해 가자."
g_119,"새로 나온 앱 써봤어? 아직인데 좋아? 응 정말 편해. 나도 써봐야겠다. 추천해 무료야. 고마워 지금 다운받을게."
g_120,"주말에 뭐 할까? 집에서 영화나 볼까 봐. 좋아 무슨 영화? 액션 영화 어때? 완전 좋지 같이 보자. 팝콘도 준비하자. 완벽해 토요일에 보자."
g_121,"요즘 일 재밌어? 응 프로젝트가 흥미로워. 좋겠다 나는 좀 지루해. 새로운 걸 시작해봐. 그래야겠다 조언 고마워. 힘내 잘 될 거야."
g_122,"오늘 점심 뭐 먹을까? 비빔밥 어때? 좋아 건강하고 맛있지. 그럼 학교 식당 가자. 알았어 12시에 만나자. 응 그때 보자."
g_123,"새로운 취미 시작했어? 응 사진 찍는 거 배워. 좋다 어떤 카메라 써? 미러리스 카메라 샀어. 멋지다 작품 보여줘. 좋아 다음에 보여줄게. 기대할게."
g_124,"요즘 책 읽기 모임 어때? 재밌어 토론도 하고. 좋겠다 나도 가입하고 싶다. 같이 하자 환영해. 다음 모임 언제야? 다음 주 일요일이야. 알았어 갈게."
g_125,"주말에 바베큐 하는데 올래? 좋아 몇 시에 가면 돼? 오후 5시쯤 와. 알았어 뭐 가져갈까? 음료수나 과일 가져와. 그럼 그렇게 준비할게. 고마워 토요일에 보자."
g_126,"요즘 드라마 뭐 봐? 스릴러 드라마 보는데 재밌어. 제목이 뭐야? 그 유명한 거 알지? 아 그거 나도 들었어. 같이 볼래? 좋아 오늘 밤에 보자."
g_127,"날씨 좋은데 산책할래? 좋아 어디로 갈까? 강변 어때? 완전 좋지 커피 사 가자. 그래 테이크아웃 하자. 지금 출발할까? 응 바로 가자."
g_128,"이번 주 바쁘겠다. 응 회의가 많아 너는? 나도 비슷해 힘내자. 같이 파이팅하자. 주말에 푹 쉬자. 완벽해 그때 보자."
g_129,"새로 산 운동화 어때? 편해 보인다 어디 거야? 스포츠 매장에서 샀어. 나도 사고 싶다. 같이 가볼까? 좋아 언제 갈까? 주말 어때? 완벽해 그때 가자."
g_130,"오늘 저녁 메뉴 뭐로 할까? 찜닭 어때? 좋아 매운 걸로 하자. 알았어 주문할게. 고마워 감자도 추가해줘. 응 그렇게 할게."
g_131,"주말에 노래방 가는데 같이 갈래? 좋아 오랜만이네. 응 스트레스 풀자. 몇 시에 갈까? 토요일 저녁 7시 어때? 완벽해 그때 보자. 알았어 기대된다."
g_132,"요즘 스트레스 많이 받아? 좀 있는데 너는? 나도 비슷해 어떻게 풀어? 친구들 만나서 수다 떨어. 좋은 방법이다 나도 그래야겠다. 같이 만나자. 좋아 언제 만날까? 이번 주말 어때? 완벽해."
g_133,"오늘 날씨 완전 화창하다. 그치 빨래하기 딱이야. 나도 빨래 해야겠어. 이불도 빨자. 좋은 생각이야 같이 하자. 응 오후에 하자."
g_134,"요즘 요리 배우고 있어? 응 파스타 만들기 배워. 멋지다 잘 돼? 응 맛있게 만들어. 나도 배우고 싶다. 같이 배우자. 좋아 요리 교실 알아볼게."
g_135,"점심 어디서 먹을까? 학교 앞 분식집 어때? 좋아 거기 라면 맛있어. 나도 그거 먹고 싶었어. 그럼 거기로 가자. 지금 출발할까? 응 배고파 가자."
g_136,"주말 계획 있어? 아직 없는데 너는? 박물관 가려고 해. 좋다 나도 가고 싶었어. 같이 갈래? 완전 좋지 토요일 어때? 완벽해 그때 보자."
g_137,"오늘 기분 좋네. 응 날씨도 좋고 일도 잘 풀렸어. 다행이다 축하해. 고마워 저녁에 맛있는 거 먹자. 좋아 뭐 먹을까? 고기 어때? 완벽해 가자."
g_138,"새로 산 가방 실용적이다. 고마워 수납공간 많아. 어디서 샀어? 온라인 쇼핑몰이야. 나도 하나 살까 봐. 링크 보내줄게. 고마워 주문할게."
